./g_diam.sh
MAX:  42LONG: 2, LEN: 1, d= 2, R: 6
LONG: 3, LEN: 2, d= 6, R: 12
LONG: 4, LEN: 3, d= 12, R: 19
LONG: 5, LEN: 4, d= 19, R: 14
LONG: 6, LEN: 5, d= 14, R: 42
LONG: 6, LEN: 2, d= 6, R: 14
LONG: 6, LEN: 3, d= 14, R: 42
LONG: 6, LEN: 3, d= 14, R: 19
LONG: 6, LEN: 4, d= 19, R: 12
LONG: 6, LEN: 1, d= 2, R: 5
LONG: 6, LEN: 2, d= 5, R: 8
LONG: 6, LEN: 2, d= 5, R: 17
LONG: 6, LEN: 3, d= 17, R: 21
LONG: 6, LEN: 1, d= 2, R: 21
LONG: 6, LEN: 2, d= 21, R: 17
LONG: 6, LEN: 3, d= 17, R: 5
LONG: 6, LEN: 4, d= 5, R: 8
LONG: 6, LEN: 1, d= 2, R: 8
LONG: 6, LEN: 2, d= 8, R: 5
LONG: 6, LEN: 3, d= 5, R: 17
LONG: 6, LEN: 4, d= 17, R: 21

LONG: 6, LEN: 1, d= 5, R: 2
LONG: 6, LEN: 2, d= 2, R: 6
LONG: 6, LEN: 3, d= 6, R: 12
LONG: 6, LEN: 4, d= 12, R: 19
LONG: 6, LEN: 5, d= 19, R: 14
LONG: 7, LEN: 6, d= 14, R: 42
LONG: 7, LEN: 3, d= 6, R: 14
LONG: 7, LEN: 4, d= 14, R: 42
LONG: 7, LEN: 4, d= 14, R: 19
LONG: 7, LEN: 5, d= 19, R: 12
LONG: 7, LEN: 2, d= 2, R: 21
LONG: 7, LEN: 3, d= 21, R: 17
LONG: 7, LEN: 2, d= 2, R: 8
LONG: 7, LEN: 1, d= 5, R: 8
LONG: 7, LEN: 2, d= 8, R: 2
LONG: 7, LEN: 3, d= 2, R: 6
LONG: 7, LEN: 4, d= 6, R: 12
LONG: 7, LEN: 5, d= 12, R: 19
LONG: 7, LEN: 6, d= 19, R: 14
LONG: 8, LEN: 7, d= 14, R: 42
LONG: 8, LEN: 4, d= 6, R: 14
LONG: 8, LEN: 5, d= 14, R: 42
LONG: 8, LEN: 5, d= 14, R: 19
LONG: 8, LEN: 6, d= 19, R: 12
LONG: 8, LEN: 3, d= 2, R: 21
LONG: 8, LEN: 4, d= 21, R: 17
LONG: 8, LEN: 1, d= 5, R: 17
LONG: 8, LEN: 2, d= 17, R: 21
LONG: 8, LEN: 3, d= 21, R: 2
LONG: 8, LEN: 4, d= 2, R: 6
LONG: 8, LEN: 5, d= 6, R: 12
LONG: 8, LEN: 6, d= 12, R: 19
LONG: 8, LEN: 7, d= 19, R: 14
LONG: 9, LEN: 8, d= 14, R: 42
LONG: 9, LEN: 5, d= 6, R: 14
LONG: 9, LEN: 6, d= 14, R: 42
LONG: 9, LEN: 6, d= 14, R: 19
LONG: 9, LEN: 7, d= 19, R: 12
LONG: 9, LEN: 4, d= 2, R: 8
LONG: 9, LEN: 1, d= 6, R: 12
LONG: 9, LEN: 2, d= 12, R: 19
LONG: 9, LEN: 3, d= 19, R: 14
LONG: 9, LEN: 4, d= 14, R: 42
LONG: 9, LEN: 1, d= 6, R: 14
LONG: 9, LEN: 2, d= 14, R: 42
LONG: 9, LEN: 2, d= 14, R: 19
LONG: 9, LEN: 3, d= 19, R: 12
LONG: 9, LEN: 1, d= 6, R: 2
LONG: 9, LEN: 2, d= 2, R: 5
LONG: 9, LEN: 3, d= 5, R: 8
LONG: 9, LEN: 3, d= 5, R: 17
LONG: 9, LEN: 4, d= 17, R: 21
LONG: 9, LEN: 2, d= 2, R: 21
LONG: 9, LEN: 3, d= 21, R: 17
LONG: 9, LEN: 4, d= 17, R: 5
LONG: 9, LEN: 5, d= 5, R: 8
LONG: 9, LEN: 2, d= 2, R: 8
LONG: 9, LEN: 3, d= 8, R: 5
LONG: 9, LEN: 4, d= 5, R: 17
LONG: 9, LEN: 5, d= 17, R: 21
LONG: 9, LEN: 1, d= 8, R: 2
LONG: 9, LEN: 2, d= 2, R: 6
LONG: 9, LEN: 3, d= 6, R: 12
LONG: 9, LEN: 4, d= 12, R: 19
LONG: 9, LEN: 5, d= 19, R: 14
LONG: 9, LEN: 6, d= 14, R: 42
LONG: 9, LEN: 3, d= 6, R: 14
LONG: 9, LEN: 4, d= 14, R: 42
LONG: 9, LEN: 4, d= 14, R: 19
LONG: 9, LEN: 5, d= 19, R: 12
LONG: 9, LEN: 2, d= 2, R: 5
LONG: 9, LEN: 3, d= 5, R: 17
LONG: 9, LEN: 4, d= 17, R: 21
LONG: 9, LEN: 2, d= 2, R: 21
LONG: 9, LEN: 3, d= 21, R: 17
LONG: 9, LEN: 4, d= 17, R: 5
LONG: 9, LEN: 1, d= 8, R: 5
LONG: 9, LEN: 2, d= 5, R: 2
LONG: 9, LEN: 3, d= 2, R: 6
LONG: 9, LEN: 4, d= 6, R: 12
LONG: 9, LEN: 5, d= 12, R: 19
LONG: 9, LEN: 6, d= 19, R: 14
LONG: 9, LEN: 7, d= 14, R: 42
LONG: 9, LEN: 4, d= 6, R: 14
LONG: 9, LEN: 5, d= 14, R: 42
LONG: 9, LEN: 5, d= 14, R: 19
LONG: 9, LEN: 6, d= 19, R: 12
LONG: 9, LEN: 3, d= 2, R: 21
LONG: 9, LEN: 4, d= 21, R: 17
LONG: 9, LEN: 2, d= 5, R: 17
LONG: 9, LEN: 3, d= 17, R: 21
LONG: 9, LEN: 4, d= 21, R: 2
LONG: 9, LEN: 5, d= 2, R: 6
LONG: 9, LEN: 6, d= 6, R: 12
LONG: 9, LEN: 7, d= 12, R: 19
LONG: 9, LEN: 8, d= 19, R: 14
LONG: 10, LEN: 9, d= 14, R: 42
LONG: 10, LEN: 6, d= 6, R: 14
LONG: 10, LEN: 7, d= 14, R: 42
LONG: 10, LEN: 7, d= 14, R: 19
LONG: 10, LEN: 8, d= 19, R: 12
LONG: 10, LEN: 1, d= 12, R: 19
LONG: 10, LEN: 2, d= 19, R: 14
LONG: 10, LEN: 3, d= 14, R: 42
LONG: 10, LEN: 3, d= 14, R: 6
LONG: 10, LEN: 4, d= 6, R: 2
LONG: 10, LEN: 5, d= 2, R: 5
LONG: 10, LEN: 6, d= 5, R: 8
LONG: 10, LEN: 6, d= 5, R: 17
LONG: 10, LEN: 7, d= 17, R: 21
LONG: 10, LEN: 5, d= 2, R: 21
LONG: 10, LEN: 6, d= 21, R: 17
LONG: 10, LEN: 7, d= 17, R: 5
LONG: 10, LEN: 8, d= 5, R: 8
LONG: 10, LEN: 5, d= 2, R: 8
LONG: 10, LEN: 6, d= 8, R: 5
LONG: 10, LEN: 7, d= 5, R: 17
LONG: 10, LEN: 8, d= 17, R: 21
LONG: 10, LEN: 1, d= 12, R: 6
LONG: 10, LEN: 2, d= 6, R: 14
LONG: 10, LEN: 3, d= 14, R: 42
LONG: 10, LEN: 3, d= 14, R: 19
LONG: 10, LEN: 2, d= 6, R: 2
LONG: 10, LEN: 3, d= 2, R: 5
LONG: 10, LEN: 4, d= 5, R: 8
LONG: 10, LEN: 4, d= 5, R: 17
LONG: 10, LEN: 5, d= 17, R: 21
LONG: 10, LEN: 3, d= 2, R: 21
LONG: 10, LEN: 4, d= 21, R: 17
LONG: 10, LEN: 5, d= 17, R: 5
LONG: 10, LEN: 6, d= 5, R: 8
LONG: 10, LEN: 3, d= 2, R: 8
LONG: 10, LEN: 4, d= 8, R: 5
LONG: 10, LEN: 5, d= 5, R: 17
LONG: 10, LEN: 6, d= 17, R: 21
LONG: 10, LEN: 1, d= 14, R: 42
LONG: 10, LEN: 1, d= 14, R: 19
LONG: 10, LEN: 2, d= 19, R: 12
LONG: 10, LEN: 3, d= 12, R: 6
LONG: 10, LEN: 4, d= 6, R: 2
LONG: 10, LEN: 5, d= 2, R: 5
LONG: 10, LEN: 6, d= 5, R: 8
LONG: 10, LEN: 6, d= 5, R: 17
LONG: 10, LEN: 7, d= 17, R: 21
LONG: 10, LEN: 5, d= 2, R: 21
LONG: 10, LEN: 6, d= 21, R: 17
LONG: 10, LEN: 7, d= 17, R: 5
LONG: 10, LEN: 8, d= 5, R: 8
LONG: 10, LEN: 5, d= 2, R: 8
LONG: 10, LEN: 6, d= 8, R: 5
LONG: 10, LEN: 7, d= 5, R: 17
LONG: 10, LEN: 8, d= 17, R: 21
LONG: 10, LEN: 1, d= 14, R: 6
LONG: 10, LEN: 2, d= 6, R: 12
LONG: 10, LEN: 3, d= 12, R: 19
LONG: 10, LEN: 2, d= 6, R: 2
LONG: 10, LEN: 3, d= 2, R: 5
LONG: 10, LEN: 4, d= 5, R: 8
LONG: 10, LEN: 4, d= 5, R: 17
LONG: 10, LEN: 5, d= 17, R: 21
LONG: 10, LEN: 3, d= 2, R: 21
LONG: 10, LEN: 4, d= 21, R: 17
LONG: 10, LEN: 5, d= 17, R: 5
LONG: 10, LEN: 6, d= 5, R: 8
LONG: 10, LEN: 3, d= 2, R: 8
LONG: 10, LEN: 4, d= 8, R: 5
LONG: 10, LEN: 5, d= 5, R: 17
LONG: 10, LEN: 6, d= 17, R: 21
LONG: 10, LEN: 1, d= 17, R: 21
LONG: 10, LEN: 2, d= 21, R: 2
LONG: 10, LEN: 3, d= 2, R: 6
LONG: 10, LEN: 4, d= 6, R: 12
LONG: 10, LEN: 5, d= 12, R: 19
LONG: 10, LEN: 6, d= 19, R: 14
LONG: 10, LEN: 7, d= 14, R: 42
LONG: 10, LEN: 4, d= 6, R: 14
LONG: 10, LEN: 5, d= 14, R: 42
LONG: 10, LEN: 5, d= 14, R: 19
LONG: 10, LEN: 6, d= 19, R: 12
LONG: 10, LEN: 3, d= 2, R: 5
LONG: 10, LEN: 4, d= 5, R: 8
LONG: 10, LEN: 3, d= 2, R: 8
LONG: 10, LEN: 4, d= 8, R: 5
LONG: 10, LEN: 1, d= 17, R: 5
LONG: 10, LEN: 2, d= 5, R: 2
LONG: 10, LEN: 3, d= 2, R: 6
LONG: 10, LEN: 4, d= 6, R: 12
LONG: 10, LEN: 5, d= 12, R: 19
LONG: 10, LEN: 6, d= 19, R: 14
LONG: 10, LEN: 7, d= 14, R: 42
LONG: 10, LEN: 4, d= 6, R: 14
LONG: 10, LEN: 5, d= 14, R: 42
LONG: 10, LEN: 5, d= 14, R: 19
LONG: 10, LEN: 6, d= 19, R: 12
LONG: 10, LEN: 3, d= 2, R: 21
LONG: 10, LEN: 3, d= 2, R: 8
LONG: 10, LEN: 2, d= 5, R: 8
LONG: 10, LEN: 3, d= 8, R: 2
LONG: 10, LEN: 4, d= 2, R: 6
LONG: 10, LEN: 5, d= 6, R: 12
LONG: 10, LEN: 6, d= 12, R: 19
LONG: 10, LEN: 7, d= 19, R: 14
LONG: 10, LEN: 8, d= 14, R: 42
LONG: 10, LEN: 5, d= 6, R: 14
LONG: 10, LEN: 6, d= 14, R: 42
LONG: 10, LEN: 6, d= 14, R: 19
LONG: 10, LEN: 7, d= 19, R: 12
LONG: 10, LEN: 4, d= 2, R: 21
LONG: 10, LEN: 1, d= 19, R: 14
LONG: 10, LEN: 2, d= 14, R: 42
LONG: 10, LEN: 2, d= 14, R: 6
LONG: 10, LEN: 3, d= 6, R: 12
LONG: 10, LEN: 3, d= 6, R: 2
LONG: 10, LEN: 4, d= 2, R: 5
LONG: 10, LEN: 5, d= 5, R: 8
LONG: 10, LEN: 5, d= 5, R: 17
LONG: 10, LEN: 6, d= 17, R: 21
LONG: 10, LEN: 4, d= 2, R: 21
LONG: 10, LEN: 5, d= 21, R: 17
LONG: 10, LEN: 6, d= 17, R: 5
LONG: 10, LEN: 7, d= 5, R: 8
LONG: 10, LEN: 4, d= 2, R: 8
LONG: 10, LEN: 5, d= 8, R: 5
LONG: 10, LEN: 6, d= 5, R: 17
LONG: 10, LEN: 7, d= 17, R: 21
LONG: 10, LEN: 1, d= 19, R: 12
LONG: 10, LEN: 2, d= 12, R: 6
LONG: 10, LEN: 3, d= 6, R: 14
LONG: 10, LEN: 4, d= 14, R: 42
LONG: 10, LEN: 3, d= 6, R: 2
LONG: 10, LEN: 4, d= 2, R: 5
LONG: 10, LEN: 5, d= 5, R: 8
LONG: 10, LEN: 5, d= 5, R: 17
LONG: 10, LEN: 6, d= 17, R: 21
LONG: 10, LEN: 4, d= 2, R: 21
LONG: 10, LEN: 5, d= 21, R: 17
LONG: 10, LEN: 6, d= 17, R: 5
LONG: 10, LEN: 7, d= 5, R: 8
LONG: 10, LEN: 4, d= 2, R: 8
LONG: 10, LEN: 5, d= 8, R: 5
LONG: 10, LEN: 6, d= 5, R: 17
LONG: 10, LEN: 7, d= 17, R: 21
LONG: 10, LEN: 1, d= 21, R: 2
LONG: 10, LEN: 2, d= 2, R: 6
LONG: 10, LEN: 3, d= 6, R: 12
LONG: 10, LEN: 4, d= 12, R: 19
LONG: 10, LEN: 5, d= 19, R: 14
LONG: 10, LEN: 6, d= 14, R: 42
LONG: 10, LEN: 3, d= 6, R: 14
LONG: 10, LEN: 4, d= 14, R: 42
LONG: 10, LEN: 4, d= 14, R: 19
LONG: 10, LEN: 5, d= 19, R: 12
LONG: 10, LEN: 2, d= 2, R: 5
LONG: 10, LEN: 3, d= 5, R: 8
LONG: 10, LEN: 3, d= 5, R: 17
LONG: 10, LEN: 2, d= 2, R: 8
LONG: 10, LEN: 3, d= 8, R: 5
LONG: 10, LEN: 4, d= 5, R: 17
LONG: 10, LEN: 1, d= 21, R: 17
LONG: 10, LEN: 2, d= 17, R: 5
LONG: 10, LEN: 3, d= 5, R: 2
LONG: 10, LEN: 4, d= 2, R: 6
LONG: 10, LEN: 5, d= 6, R: 12
LONG: 10, LEN: 6, d= 12, R: 19
LONG: 10, LEN: 7, d= 19, R: 14
LONG: 10, LEN: 8, d= 14, R: 42
LONG: 10, LEN: 5, d= 6, R: 14
LONG: 10, LEN: 6, d= 14, R: 42
LONG: 10, LEN: 6, d= 14, R: 19
LONG: 10, LEN: 7, d= 19, R: 12
LONG: 10, LEN: 4, d= 2, R: 8
LONG: 10, LEN: 3, d= 5, R: 8
LONG: 10, LEN: 4, d= 8, R: 2
LONG: 10, LEN: 5, d= 2, R: 6
LONG: 10, LEN: 6, d= 6, R: 12
LONG: 10, LEN: 7, d= 12, R: 19
LONG: 10, LEN: 8, d= 19, R: 14
LONG: 10, LEN: 9, d= 14, R: 42
LONG: 10, LEN: 6, d= 6, R: 14
LONG: 10, LEN: 7, d= 14, R: 42
LONG: 10, LEN: 7, d= 14, R: 19
LONG: 10, LEN: 8, d= 19, R: 12
LONG: 10, LEN: 1, d= 42, R: 14
LONG: 10, LEN: 2, d= 14, R: 19
LONG: 10, LEN: 3, d= 19, R: 12
LONG: 10, LEN: 4, d= 12, R: 6
LONG: 10, LEN: 5, d= 6, R: 2
LONG: 10, LEN: 6, d= 2, R: 5
LONG: 10, LEN: 7, d= 5, R: 8
LONG: 10, LEN: 7, d= 5, R: 17
LONG: 10, LEN: 8, d= 17, R: 21
LONG: 10, LEN: 6, d= 2, R: 21
LONG: 10, LEN: 7, d= 21, R: 17
LONG: 10, LEN: 8, d= 17, R: 5
LONG: 10, LEN: 9, d= 5, R: 8
LONG: 10, LEN: 6, d= 2, R: 8
LONG: 10, LEN: 7, d= 8, R: 5
LONG: 10, LEN: 8, d= 5, R: 17
LONG: 10, LEN: 9, d= 17, R: 21
LONG: 10, LEN: 2, d= 14, R: 6
LONG: 10, LEN: 3, d= 6, R: 12
LONG: 10, LEN: 4, d= 12, R: 19
LONG: 10, LEN: 3, d= 6, R: 2
LONG: 10, LEN: 4, d= 2, R: 5
LONG: 10, LEN: 5, d= 5, R: 8
LONG: 10, LEN: 5, d= 5, R: 17
LONG: 10, LEN: 6, d= 17, R: 21
LONG: 10, LEN: 4, d= 2, R: 21
LONG: 10, LEN: 5, d= 21, R: 17
LONG: 10, LEN: 6, d= 17, R: 5
LONG: 10, LEN: 7, d= 5, R: 8
LONG: 10, LEN: 4, d= 2, R: 8
LONG: 10, LEN: 5, d= 8, R: 5
LONG: 10, LEN: 6, d= 5, R: 17
LONG: 10, LEN: 7, d= 17, R: 21
10
